,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
156,20.571,5.498,2.429,88.0,88.0,93.0,0.16,43.0,7.1448399951,74.131,1.3544,17.508358922728416,5.0777777777777775
157,17.949,5.503,2.254,84.0,84.0,85.0,0.11,123.0,6.405792268262776,76.516,1.933047540983607,24.99160625,8.6
158,20.546,5.873,2.576,65.0,65.0,67.0,0.13,554.0,6.4649881651,71.095,1.933047540983607,357.6883053291746,4.0
159,10.2,10.9,1.46,95.0,91.0,93.0,0.6182203389830511,16.0,0.73045470014,77.60243902439025,1.933047540983607,124.02348215160521,5.0777777777777775
160,8.5,11.0,1.42,99.0,98.0,99.0,0.6182203389830511,24.0,0.78976680624,81.32439024390244,1.933047540983607,112.26194121730035,5.0777777777777775
161,6.7,9.2,1.035,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,0.95,21.088314968,79.77819512195123,1.933047540983607,360.0173618940248,5.0777777777777775
162,9.541,1.202,1.866,98.0,98.0,99.0,0.6182203389830511,31.0,6.405792268262776,80.1,2.4852,239.5931955211025,5.0777777777777775
163,9.6,13.5,1.76,86.0,93.0,90.0,0.04,68.0,1.2816496985,75.35853658536587,1.933047540983607,84.63380128650904,5.0777777777777775
164,11.5,12.4,1.57,97.0,97.0,98.0,0.6182203389830511,54.0,8.209475626,72.65731707317073,1.933047540983607,8.822067953155884,5.0777777777777775
165,31.696,5.208,4.044,97.0,97.0,99.0,0.48,59.0,6.405792268262776,68.7,0.134,498.6598702877989,5.0777777777777775
166,24.378,5.239,3.877,34.0,34.0,31.0,0.6182203389830511,6.4,6.405792268262776,73.187,1.933047540983607,69.30388692579506,5.0777777777777775
167,6.8,7.1,2.625965833807269,90.0,78.0,89.0,0.6182203389830511,0.0,6.405792268262776,72.76090832407365,1.933047540983607,563.0833333333334,5.0777777777777775
168,17.798,3.472,2.319,96.0,97.0,98.0,0.6182203389830511,10.0,6.405792268262776,74.998,2.6117,15.676654308295614,5.0777777777777775
169,34.523,5.716,4.625,82.0,82.0,83.0,0.1,118.0,6.405792268262776,67.665,1.933047540983607,82.34747831506778,5.0777777777777775
170,9.2,14.6,1.49,96.0,91.0,92.0,0.02,17.0,1.2268905787,75.89024390243902,1.933047540983607,79.8376857992225,5.0777777777777775
171,17.1,8.5,2.41,99.0,99.0,96.0,0.6182203389830511,18.0,6.405792268262776,72.84146341463415,1.933047540983607,210.3521739130435,5.0777777777777775
172,33.406,11.745,4.263,93.0,93.0,87.0,0.68,298.0,6.405792268262776,54.309,1.933047540983607,105.98717096148518,5.0777777777777775
173,8.8,5.0,1.14,96.0,96.0,95.0,0.03,47.0,0.15631776484,83.14634146341463,1.933047540983607,7952.998418401798,5.0777777777777775
174,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,19.0,6.405792268262776,72.76090832407365,1.933047540983607,355.6913367941228,5.0777777777777775
